元运,坐向,坐山,向首,向度数,三元龙,卦法,山星入中,山星飞法,向星入中,向星飞法,格局,艮_山,坎_山,乾_山,震_山,中_山,兑_山,巽_山,离_山,坤_山,艮_向,坎_向,乾_向,震_向,中_向,兑_向,巽_向,离_向,坤_向,艮_运,坎_运,乾_运,震_运,中_运,兑_运,巽_运,离_运,坤_运
9,丙山壬向,丙,壬,345.0,地,下卦,4,逆飞,5,顺飞,双星到坐,1,8,3,6,4,2,5,9,7,8,1,6,3,5,7,4,9,2,3,5,1,7,9,2,8,4,6
9,午山子向,午,子,0.0,天,下卦,4,顺飞,5,逆飞,双星到向,7,9,5,2,4,6,3,8,1,2,9,4,7,5,3,6,1,8,3,5,1,7,9,2,8,4,6
9,丁山癸向,丁,癸,15.0,人,下卦,4,顺飞,5,逆飞,双星到向,7,9,5,2,4,6,3,8,1,2,9,4,7,5,3,6,1,8,3,5,1,7,9,2,8,4,6
9,未山丑向,未,丑,30.0,地,下卦,6,逆飞,3,顺飞,双星到坐,3,1,5,8,6,4,7,2,9,6,8,4,1,3,5,2,7,9,3,5,1,7,9,2,8,4,6
9,坤山艮向,坤,艮,45.0,天,下卦,6,顺飞,3,逆飞,双星到向,9,2,7,4,6,8,5,1,3,9,7,2,5,3,1,4,8,6,3,5,1,7,9,2,8,4,6
9,申山寅向,申,寅,60.0,人,下卦,6,顺飞,3,逆飞,双星到向,9,2,7,4,6,8,5,1,3,9,7,2,5,3,1,4,8,6,3,5,1,7,9,2,8,4,6
9,庚山甲向,庚,甲,75.0,地,下卦,2,逆飞,7,顺飞,双星到坐,8,6,1,4,2,9,3,7,5,1,3,8,5,7,9,6,2,4,3,5,1,7,9,2,8,4,6
9,酉山卯向,酉,卯,90.0,天,下卦,2,顺飞,7,逆飞,双星到向,5,7,3,9,2,4,1,6,8,4,2,6,9,7,5,8,3,1,3,5,1,7,9,2,8,4,6
9,辛山乙向,辛,乙,105.0,人,下卦,2,顺飞,7,逆飞,双星到向,5,7,3,9,2,4,1,6,8,4,2,6,9,7,5,8,3,1,3,5,1,7,9,2,8,4,6
9,戌山辰向,戌,辰,120.0,地,下卦,1,顺飞,8,逆飞,双星到向,4,6,2,8,1,3,9,5,7,5,3,7,1,8,6,9,4,2,3,5,1,7,9,2,8,4,6
9,乾山巽向,乾,巽,135.0,天,下卦,1,逆飞,8,顺飞,双星到坐,7,5,9,3,1,8,2,6,4,2,4,9,6,8,1,7,3,5,3,5,1,7,9,2,8,4,6
9,亥山巳向,亥,巳,150.0,人,下卦,1,逆飞,8,顺飞,双星到坐,7,5,9,3,1,8,2,6,4,2,4,9,6,8,1,7,3,5,3,5,1,7,9,2,8,4,6
9,壬山丙向,壬,丙,165.0,地,下卦,5,顺飞,4,逆飞,双星到向,8,1,6,3,5,7,4,9,2,1,8,3,6,4,2,5,9,7,3,5,1,7,9,2,8,4,6
9,子山午向,子,午,180.0,天,下卦,5,逆飞,4,顺飞,双星到坐,2,9,4,7,5,3,6,1,8,7,9,5,2,4,6,3,8,1,3,5,1,7,9,2,8,4,6
9,癸山丁向,癸,丁,195.0,人,下卦,5,逆飞,4,顺飞,双星到坐,2,9,4,7,5,3,6,1,8,7,9,5,2,4,6,3,8,1,3,5,1,7,9,2,8,4,6
9,丑山未向,丑,未,210.0,地,下卦,3,顺飞,6,逆飞,双星到向,6,8,4,1,3,5,2,7,9,3,1,5,8,6,4,7,2,9,3,5,1,7,9,2,8,4,6
9,艮山坤向,艮,坤,225.0,天,下卦,3,逆飞,6,顺飞,双星到坐,9,7,2,5,3,1,4,8,6,9,2,7,4,6,8,5,1,3,3,5,1,7,9,2,8,4,6
9,寅山申向,寅,申,240.0,人,下卦,3,逆飞,6,顺飞,双星到坐,9,7,2,5,3,1,4,8,6,9,2,7,4,6,8,5,1,3,3,5,1,7,9,2,8,4,6
9,甲山庚向,甲,庚,255.0,地,下卦,7,顺飞,2,逆飞,双星到向,1,3,8,5,7,9,6,2,4,8,6,1,4,2,9,3,7,5,3,5,1,7,9,2,8,4,6
9,卯山酉向,卯,酉,270.0,天,下卦,7,逆飞,2,顺飞,双星到坐,4,2,6,9,7,5,8,3,1,5,7,3,9,2,4,1,6,8,3,5,1,7,9,2,8,4,6
9,乙山辛向,乙,辛,285.0,人,下卦,7,逆飞,2,顺飞,双星到坐,4,2,6,9,7,5,8,3,1,5,7,3,9,2,4,1,6,8,3,5,1,7,9,2,8,4,6
9,辰山戌向,辰,戌,300.0,地,下卦,8,逆飞,1,顺飞,双星到坐,5,3,7,1,8,6,9,4,2,4,6,2,8,1,3,9,5,7,3,5,1,7,9,2,8,4,6
9,巽山乾向,巽,乾,315.0,天,下卦,8,顺飞,1,逆飞,双星到向,2,4,9,6,8,1,7,3,5,7,5,9,3,1,8,2,6,4,3,5,1,7,9,2,8,4,6
9,巳山亥向,巳,亥,330.0,人,下卦,8,顺飞,1,逆飞,双星到向,2,4,9,6,8,1,7,3,5,7,5,9,3,1,8,2,6,4,3,5,1,7,9,2,8,4,6
